Byline,Type,Value,Attribute
Daniel Hou,eventName,"a story was widely circu1lated that Mary one night went to Taylor's bungalow and taking off all her clothes begging him to have intercourse with her.",love
Daniel Hou,persName,"Mary",minter
Daniel Hou,placeName,"Taylor's bungalow",residence
Daniel Hou,persName,"her",mary
Daniel Hou,objectName,"clothes",clothes
Daniel Hou,persName,"him",taylor
Daniel Hou,persName,"her",mary
Daniel Hou,persName,"her daughter",mary
Daniel Hou,persName,"Taylor",taylor
Daniel Hou,persName,"the girl",mary
Daniel Hou,persName,"the mother",cshelby
Daniel Hou,persName,"Taylor",taylor
Daniel Hou,persName,"her money-making daughter",minter
Daniel Hou,persName,"him",taylor
Daniel Hou,persName,"Attorney Harold Davis",Attorney
Daniel Hou,persName,"Mary",minter
Daniel Hou,persName,"her mother",cshelby
Daniel Hou,objectName,"the transcript",document
Daniel Hou,objectName,"the statement",document
Daniel Hou,placeName,"at a railroad station",transportation
Daniel Hou,placeName,"Santa Barbara",Santa_Barbara
Daniel Hou,persName,"Kirkwood",kirkwood
Daniel Hou,persName,"mother",cshelby
Daniel Hou,eventName,"Mary, asserted that she would kill anyone that came between her and Mary",talk
Daniel Hou,persName,"Mary",minter
Daniel Hou,persName,"she",cshelby
Daniel Hou,persName,"her",cshelby
Daniel Hou,persName,"Mary",minter
Daniel Hou,persName,"Taylor",taylor
Daniel Hou,persName,"Mrs. Shelby",cshelby
Daniel Hou,persName,"Taylor",taylor
Daniel Hou,persName,"Kirkwood",kirkwood
Daniel Hou,persName,"Mary",minter
Daniel Hou,eventName,"murder",murder
Daniel Hou,persName,"Mrs.Shelby",cshelby
Daniel Hou,eventName,"he had committed statutory rape when he had intercourse with Mary at the age or 15",love
Daniel Hou,persName,"he",kirkwood
Daniel Hou,persName,"Mary",minter
Daniel Hou,eventName,"he was still married to his first wife in 1922 and seeking a divorce",marry
Daniel Hou,persName,"he",kirkwood
Daniel Hou,persName,"his",kirkwood
Daniel Hou,eventName,"The main witness in the Taylor murder at the time of its commission",murder
Daniel Hou,persName,"The main witness",dougMaclean
Daniel Hou,persName,"Taylor",taylor
Daniel Hou,persName,"Mrs. Douglas MacLean",dougMaclean
Daniel Hou,persName,"wife",dougMaclean
Daniel Hou,persName,"comedian",dougMaclean
Daniel Hou,placeName,"in a bungalow nearby",residence
Daniel Hou,persName,"She",dougMaclean
Daniel Hou,persName,"man",murderer
Daniel Hou,placeName,"the Taylor house",residence
Daniel Hou,persName,"murderer",murderer
Daniel Hou,persName,"woman",murderer
Daniel Hou,persName,"Kirkwood",kirkwood
Daniel Hou,persName,"Mrs. MacLean",dougMaclean
Daniel Hou,eventName,"the person appeared to her to resemble someone in a motion-picture get-up or in makeup",murder
Daniel Hou,persName,"her",dougMaclean
Daniel Hou,persName,"witness",witness
Daniel Hou,eventName,"two men at Taylor's door two nights before the murder at about 6:00 P.M.",murder
Daniel Hou,persName,"two men",murderer
Daniel Hou,placeName,"at Taylor's door",residence
Daniel Hou,persName,"tall men",murderer
Daniel Hou,persName,"Kirkwood",kirkwood
Daniel Hou,persName,"a very small man",murderer
