Byline,Type,Value,Attribute
John Cochran,persName,"Marshell Neilan",neilan
John Cochran,persName,"Marshall",neilan
John Cochran,persName,"Miss Sweet",sweet
John Cochran,persName,"Blanche",sweet
John Cochran,persName,"Bill",taylor
John Cochran,objectName,"poinsettias",flowers
John Cochran,persName,"Miss Minter",minter
John Cochran,persName,"Marshall",neilan
John Cochran,persName,"Blanche",sweet
John Cochran,persName,"Bill",taylor
John Cochran,persName,"Mary",minter
John Cochran,placeName,"club",club
John Cochran,placeName,"rooms",house
John Cochran,persName,"Marshall Nieilan",neilan
John Cochran,persName,"Arthur Hoyt",hoyt
John Cochran,persName,"Cap Robinson",robinson
John Cochran,persName,"Cap Robinson",robinson
John Cochran,persName,"Arthur",hoyt
John Cochran,persName,"Antonio Moreno",moreno
John Cochran,persName,"Mr taylor",taylor
John Cochran,persName,"Mr taylor",taylor
John Cochran,persName,"Marshall",neilan
John Cochran,placeName,"apartments",residence
John Cochran,placeName,"apartments",residence
