Byline,Type,Value,Attribute
Kate Reyen,persName,"CHRISTINA JEWETT",#servant
Kate Reyen,persName,"Mrs. MacLean",#actor
Kate Reyen,persName,"MacLeans",#family
Kate Reyen,placeName,"corner",street
Kate Reyen,placeName,"alley",passage
Kate Reyen,objectName,"fence",yard
Kate Reyen,placeName,"alley",passage
Kate Reyen,placeName,"garage",house
Kate Reyen,placeName,"Mr. Jesserun's house",residence
Kate Reyen,objectName,"flat shoes",clothing
Kate Reyen,objectName,"bell",bell
Kate Reyen,objectName,"bell",bell
Kate Reyen,placeName,"dining room",house
Kate Reyen,placeName,"the garage",house
Kate Reyen,placeName,"the house,Mr. Jesserun living in",residence
Kate Reyen,objectName,"table",furniture
Kate Reyen,objectName,"table",furniture
Kate Reyen,objectName,"tablecloth",decoration
Kate Reyen,placeName,"the alley",passage
Kate Reyen,persName,"Mr. Taylor's man",#servant
Kate Reyen,objectName,"the machine",vehicle
Kate Reyen,objectName,"the machine",vehicle
Kate Reyen,persName,"Mr. Taylor",#director
Kate Reyen,persName,"Mrs. MacLean",#actor
Kate Reyen,persName,"Mr. Taylor",#director
Kate Reyen,persName,"Mrs. MacLean",#actor
Kate Reyen,placeName,"the alley",passage
Kate Reyen,persName,"Mrs. MacLean",#actor
Kate Reyen,persName,"Mrs. MacLean",#actor
Kate Reyen,persName,"Mr. Taylor",#director
Kate Reyen,persName,"Mrs. MacLean",#actor
Kate Reyen,persName,"Mr. Taylor",#director
Kate Reyen,persName,"Mr. Taylor",#director
Kate Reyen,persName,"Mr. Taylor",#director
Kate Reyen,persName,"CHARLES DOUGLAS MacLEAN",#actor
Kate Reyen,persName,"officers",#law_enforcement
Kate Reyen,eventName,"night of the murder",death
Kate Reyen,eventName,"dinner",meal
Kate Reyen,eventName,"dinner",meal
Kate Reyen,eventName,"dinner",meal
Kate Reyen,objectName,"table",furniture
Kate Reyen,placeName,"upstairs",house
Kate Reyen,objectName,"heater",appliance
Kate Reyen,placeName,"front room",house
Kate Reyen,objectName,"radiator",appliance
Kate Reyen,objectName,"radiator",appliance
Kate Reyen,placeName,"backroom upstairs",house
Kate Reyen,placeName,"front room",house
Kate Reyen,objectName,"coat",clothing
Kate Reyen,placeName,"bath room",house
Kate Reyen,objectName,"heater",appliance
Kate Reyen,persName,"Mr. Taylor's",#director
Kate Reyen,objectName,"clothing",clothing
Kate Reyen,objectName,"back",bodypart
Kate Reyen,objectName,"feet",bodypart
Kate Reyen,objectName,"legs",bodypart
Kate Reyen,objectName,"hands",bodypart
Kate Reyen,objectName,"back",bodypart
Kate Reyen,objectName,"coat",clothing
Kate Reyen,objectName,"coat",clothing
Kate Reyen,objectName,"body",body
Kate Reyen,objectName,"coat",clothing
Kate Reyen,objectName,"dummy",prop
Kate Reyen,placeName,"department store",store
Kate Reyen,objectName,"window",house
Kate Reyen,placeName,"store",store
Kate Reyen,objectName,"wax figure",prop
Kate Reyen,persName,"MRS. FAITH MACLEAN",#actor
Kate Reyen,persName,"Mr. Taylor",#director
Kate Reyen,persName,"His colored servant",#servant
Kate Reyen,placeName,"the house",residence
Kate Reyen,orgName,"Police",law
Kate Reyen,persName,"Mr. Taylor",#director
Kate Reyen,persName,"Mr. Taylor",#director
Kate Reyen,eventName,"the night before",murder
Kate Reyen,objectName,"muffler",vehicle
Kate Reyen,placeName,"the porch",house
Kate Reyen,objectName,"front door",house
Kate Reyen,objectName,"door",passage
Kate Reyen,placeName,"Mr. Taylor's house",residence
Kate Reyen,placeName,"Alverado St",location
Kate Reyen,objectName,"door",passage
Kate Reyen,objectName,"screen",door
Kate Reyen,objectName,"screen door",door
Kate Reyen,objectName,"screen door",door
Kate Reyen,objectName,"door",passage
Kate Reyen,objectName,"door",passage
Kate Reyen,objectName,"cap",clothing
Kate Reyen,placeName,"Taylor's apartment",scene
Kate Reyen,placeName,"the street",passage
Kate Reyen,objectName,"open door",passage
Kate Reyen,persName,"Mr. Taylor",#director
Kate Reyen,placeName,"the house",scene
Kate Reyen,objectName,"door",passage
Kate Reyen,objectName,"steps",house
Kate Reyen,placeName,"Alvarado St",location
Kate Reyen,placeName,"Maryland St.",location
Kate Reyen,placeName,"the alley",passage
Kate Reyen,placeName,"between the two houses",passage
Kate Reyen,objectName,"door",passage
Kate Reyen,persName,"Taylor",#director
Kate Reyen,persName,"Taylor",#director
Kate Reyen,persName,"Mr. Taylor",#director
Kate Reyen,persName,"Howard Fellows",#servant
Kate Reyen,objectName,"chauffeur's uniform",clothing
Kate Reyen,objectName,"cap",clothing
Kate Reyen,objectName,"over-coat",clothing
Kate Reyen,objectName,"cap",clothing
Kate Reyen,objectName,"cap",clothing
Kate Reyen,objectName,"suit",clothing
Kate Reyen,objectName,"suit",clothing
Kate Reyen,persName,"Mr. Smith",#professional
Kate Reyen,persName,"Mr. Smith",#professional
Kate Reyen,persName,"Mr. Smith",#professional
Kate Reyen,persName,"Mr. Henry King",#professional
Kate Reyen,persName,"Mr. Mahlon Hamilton",#professional
Kate Reyen,persName,"Mr. Arthur Hoyt",#professional
Kate Reyen,persName,"Mr. Berris",#professional
Kate Reyen,persName,"Mr. Ince",#professional
Kate Reyen,persName,"Mr. Marshal Neilan",#professional
Kate Reyen,objectName,"moving picture burglar",description
Kate Reyen,persName,"Mr. Taylor's",#director
