Byline,Type,Value,Attribute
John Cochran,persName,"Marshell Neilan",Neilan
John Cochran,persName,"Marshall",Neilan
John Cochran,persName,"Miss Sweet",Sweet
John Cochran,persName,"Blanche",Sweet
John Cochran,persName,"Bill",Taylor
John Cochran,objectName,"poinsettias",flowers
John Cochran,persName,"Miss Minter",Minter
John Cochran,persName,"Marshall",Neilan
John Cochran,persName,"Blanche",Sweet
John Cochran,persName,"Bill",Taylor
John Cochran,persName,"Mary",Minter
John Cochran,placeName,"club",club
John Cochran,placeName,"rooms",room
John Cochran,persName,"Marshall Nieilan",Neilan
John Cochran,persName,"Arthur Hoyt",Arthur
John Cochran,persName,"Cap Robinson",Robinson
John Cochran,persName,"Cap Robinson",Robinson
John Cochran,persName,"Arthur",Arthur
John Cochran,persName,"Antonio Moreno",Moreno
John Cochran,persName,"Mr Taylor",Taylor
John Cochran,persName,"Marshall",Neilan
John Cochran,placeName,"apartments",apartments
John Cochran,placeName,"apartments",apartments
