"elementName", "elementContent", "typeAttributeIfPresent"
"objectName Clothing garments"
"objectName Evening Herald newspaper"
"objectName The body bodypart"
"objectName blood liquid"
"objectName body bodypart"
"objectName cancelled checks money"
"objectName cancelled checks money"
"objectName clothing garments"
"objectName fellow's face bodypart"
"objectName hands bodypart"
"objectName his desk furniture"
"objectName his head bodypart"
"objectName his back bodypart"
"objectName his clothing garments"
"objectName his face bodypart"
"objectName his mouth bodypart"
"objectName telephone device"
"objectName the couch furniture"
"objectName the blood liquid"
"objectName three or four checks money"
"placeName Fifth and Figueroa street"
"placeName The desk was near his feet positioning"
"placeName a caf restaurant"
"placeName feet towards the door positoning"
"placeName his house residency"
"placeName home residency"
"placeName in front of the desk positioning"
"placeName not on the floor positioning"
"placeName on the floor positioning"
"placeName the house residency"
"placeName the house residency"
