"elementName", "elementContent", "typeAttributeIfPresent"
"objectName commission "
"objectName income tax form "
"objectName schedule document"
"objectName securities document"
"objectName statement document"
"placeName Laughlin Park property "
"placeName Laughlin Park property residence"
"placeName Portland Flouring Mills business"
"placeName the house residence"
