Byline,Type,Value,Attribute
Daniel Hou,orgName,"Los Angeles Athletic C1ub",residence
Daniel Hou,persName,"Mickey Neilan",Neilan
Daniel Hou,eventName,"a story was widely circu1lated that Mary one night went to Taylor's bungalow and taking off all her clothes begging him to have intercourse with her.",sex
Daniel Hou,placeName,"Taylor's bungalow",residence
Daniel Hou,persName,"her",Mary
Daniel Hou,objectName,"clothes",clothes
Daniel Hou,persName,"him",Taylor
Daniel Hou,persName,"her",Mary
Daniel Hou,persName,"her daughter",Mary
Daniel Hou,persName,"the girl",Mary
Daniel Hou,persName,"the mother",Shelby
Daniel Hou,persName,"her money-making daughter",Mary
Daniel Hou,persName,"him",Taylor
Daniel Hou,persName,"Attorney Harold Davis",Attorney
Daniel Hou,persName,"Mary",Mary
Daniel Hou,persName,"her mother",Shelby
Daniel Hou,objectName,"the transcript",document
Daniel Hou,objectName,"the statement",document
Daniel Hou,placeName,"at a railroad station in Santa Barbara or Los Angeles",transportation
Daniel Hou,persName,"Kirkwood",Kirkwood
Daniel Hou,persName,"mother",Shelby
Daniel Hou,eventName,"Mary, asserted that she would kill anyone that came between her and Mary",talk
Daniel Hou,persName,"Mary",Mary
Daniel Hou,persName,"she",Shelby
Daniel Hou,persName,"her",Shelby
Daniel Hou,persName,"Mary",Mary
Daniel Hou,persName,"Taylor",Taylor
Daniel Hou,persName,"Mrs. Shelby",Shelby
Daniel Hou,persName,"Taylor",Taylor
Daniel Hou,persName,"Kirkwood",Kirkwood
Daniel Hou,persName,"Mary",Mary
Daniel Hou,eventName,"murder",murder
Daniel Hou,persName,"Mrs.Shelby",Shelby
Daniel Hou,eventName,"he had committed statutory rape when he had intercourse with Mary at the age or 15",sex
Daniel Hou,persName,"he",Kirkwood
Daniel Hou,persName,"Mary",Mary
Daniel Hou,eventName,"he was still married to his first wife in 1922 and seeking a divorce",marry
Daniel Hou,persName,"he",Kirkwood
Daniel Hou,persName,"his",Kirkwood
Daniel Hou,eventName,"The main witness in the Taylor murder at the time of its commission",murder
Daniel Hou,persName,"The main witness",Maclean
Daniel Hou,persName,"Taylor",Taylor
Daniel Hou,persName,"Mrs. Douglas MacLean",Maclean
Daniel Hou,persName,"wife",Maclean
Daniel Hou,persName,"comedian",Maclean
Daniel Hou,placeName,"in a bungalow nearby",residence
Daniel Hou,persName,"She",Maclean
Daniel Hou,persName,"man",murderer
Daniel Hou,placeName,"the Taylor house",residence
Daniel Hou,persName,"murderer",murderer
Daniel Hou,persName,"woman",murderer
Daniel Hou,persName,"Kirkwood",Kirkwood
